#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:primates" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:primates" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:primates" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.primates" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:primates" name="distribution" x="@birthRate.t:primates">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="KappaPrior.s:primates" name="distribution">
#            <parameter id="kappa.s:primates" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.1" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@primates" id="treeLikelihood.primates" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:primates">
#            <siteModel id="SiteModel.s:primates" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:primates" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:primates" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:primates" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#                <substModel id="hky.s:primates" kappa="@kappa.s:primates" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:primates" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:primates" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:primates" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:primates" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	YuleModel	birthRate
0	-9233.822888252245	-9226.974132583218	-6.848755669027832	-9226.974132583218	1.4507711293012	2.0	0.25	0.25	0.25	0.25	-4.983395635053545	1.0
1000	-6078.139005507296	-6088.370243193587	10.231237686290788	-6088.370243193587	0.21771411234535212	2.237814986667986	0.25	0.25	0.2475607974764267	0.2524392025235733	12.190925396022521	10.34567516668483
2000	-5999.1686536265515	-6005.861141129897	6.6924875033458875	-6005.861141129897	0.23032443214816828	4.788788164275567	0.25	0.25	0.2475607974764267	0.2524392025235733	9.503461399568272	14.585635965122668
3000	-5993.989953563226	-6003.21007349371	9.220119930484485	-6003.21007349371	0.22205859910108378	4.788788164275567	0.2518880220462356	0.2481119779537644	0.2475607974764267	0.2524392025235733	12.031093826706869	9.572865036507377
4000	-5998.72481513661	-6006.228864359968	7.504049223357807	-6006.228864359968	0.23817611223828233	4.788788164275567	0.2518880220462356	0.2481119779537644	0.2475607974764267	0.2524392025235733	10.315023119580191	4.705517863853677
5000	-6011.667241358837	-6019.236350699217	7.569109340380523	-6019.236350699217	0.24979614572091122	4.788788164275567	0.2518880220462356	0.2481119779537644	0.2475607974764267	0.2524392025235733	10.380083236602907	5.131678593297348
6000	-5994.0191832999135	-6001.903737465721	7.884554165807879	-6001.903737465721	0.24487910094196777	5.853215048222101	0.2518880220462356	0.2481119779537644	0.2475607974764267	0.2524392025235733	10.981875448358911	6.106040514302805
7000	-5995.658961242993	-6003.500156791313	7.841195548319593	-6003.500156791313	0.25082935023689745	5.853215048222101	0.2504299133104368	0.2495700866895633	0.2475607974764267	0.2524392025235733	10.938516830870626	6.974839728812579
8000	-5994.954073722987	-6002.779501464305	7.82542774131778	-6002.779501464305	0.2601112116226418	5.853215048222101	0.2504299133104368	0.2495700866895633	0.2475607974764267	0.2524392025235733	10.922749023868812	9.132557925148806
9000	-6001.704035555559	-6009.4436812189	7.73964566334044	-6009.4436812189	0.2531282884550827	5.795543761452343	0.2504299133104368	0.252497454494006	0.2475607974764267	0.2495118347191306	10.822236002275853	7.305176112113291
10000	-5997.401764192628	-6004.535182700063	7.13341850743514	-6004.535182700063	0.2535159954646198	5.795543761452343	0.25125842155598416	0.25166894624845865	0.2475607974764267	0.2495118347191306	10.216008846370553	5.064340736347495
11000	-5983.547516060261	-5992.021274470585	8.47375841032449	-5992.021274470585	0.24468166726216295	5.304526586123103	0.25125842155598416	0.25166894624845865	0.23999995575029695	0.25707267644526033	11.42743244159864	7.7985369513878
12000	-5982.578295611491	-5987.787689705672	5.209394094181558	-5987.787689705672	0.2198514470033835	5.304526586123103	0.25125842155598416	0.2559073258919981	0.23999995575029695	0.25283429680172087	8.163068125455709	3.0536779782569567
13000	-5981.363042386112	-5989.343650689774	7.980608303662036	-5989.343650689774	0.24390283034159696	5.304526586123103	0.2505994958936798	0.2559073258919981	0.23999995575029695	0.2534932224640252	10.934282334936187	11.266140688003397
14000	-5982.536253695266	-5989.795238946149	7.25898525088224	-5989.795238946149	0.24989224787218262	5.304526586123103	0.2505994958936798	0.2559073258919981	0.23999995575029695	0.2534932224640252	10.212659282156391	4.922034420415208
15000	-5977.95877371108	-5985.975567261324	8.0167935502443	-5985.975567261324	0.23721949512166415	5.304526586123103	0.2505994958936798	0.2559073258919981	0.23999995575029695	0.2534932224640252	10.97046758151845	11.031254111975029
16000	-5980.136508623318	-5988.467215717184	8.330707093866721	-5988.467215717184	0.2338971415437572	5.304526586123103	0.2532516075720698	0.2532552142136081	0.23999995575029695	0.2534932224640252	11.284381125140872	6.0170917691040655
17000	-5956.996980839992	-5964.43266043405	7.435679594058815	-5964.43266043405	0.2576938688987322	5.304526586123103	0.2586872912384741	0.2545875088825713	0.2255661699644365	0.26115902991451817	10.389353625332966	9.546677586045096
18000	-5954.944366855446	-5963.193985927421	8.249619071974827	-5963.193985927421	0.24461673532871425	5.304526586123103	0.2586872912384741	0.2545875088825713	0.2255661699644365	0.26115902991451817	11.203293103248978	8.188819793270778
19000	-5943.9613969648735	-5951.51186527823	7.55046831335682	-5951.51186527823	0.25917339668257605	5.304526586123103	0.2586872912384741	0.2603504229077338	0.219803255939274	0.26115902991451817	10.50414234463097	9.994521266253406
20000	-5947.73620147457	-5955.127302343316	7.3911008687452195	-5955.127302343316	0.25466891107696094	5.304526586123103	0.2586872912384741	0.2603504229077338	0.219803255939274	0.26115902991451817	10.34477490001937	9.334074653117623
21000	-5943.076482896789	-5950.004682160173	6.928199263384471	-5950.004682160173	0.2394055748878048	5.304526586123103	0.2586872912384741	0.2603504229077338	0.219803255939274	0.26115902991451817	9.881873294658622	13.3137610395002
22000	-5950.353253626934	-5958.129871797821	7.776618170886868	-5958.129871797821	0.24995525753871906	5.304526586123103	0.2586872912384741	0.25334939310028093	0.219803255939274	0.26816005972197104	10.730292202161019	5.392546946045804
23000	-5947.1090091669475	-5955.226910395247	8.117901228299077	-5955.226910395247	0.25404211915589703	4.968287840784829	0.2586872912384741	0.25334939310028093	0.219803255939274	0.26816005972197104	10.97944252934888	7.565539724679262
24000	-5937.034074850718	-5944.3085758902425	7.274501039524981	-5944.3085758902425	0.2420507599013617	4.968287840784829	0.2586872912384741	0.26311772797502664	0.21003492106452828	0.26816005972197104	10.136042340574784	10.133329018005181
25000	-5930.42979368464	-5938.604906373678	8.175112689038093	-5938.604906373678	0.23758625323328175	4.968287840784829	0.2586872912384741	0.26311772797502664	0.21003492106452828	0.26816005972197104	11.036653990087895	5.610768943661826
26000	-5929.771921474269	-5936.401185685643	6.629264211374148	-5936.401185685643	0.24139116715604486	4.968287840784829	0.2586872912384741	0.26311772797502664	0.21003492106452828	0.26816005972197104	9.49080551242395	13.428589663941352
27000	-5917.014314325285	-5925.676478896922	8.662164571636998	-5925.676478896922	0.23995458586674184	4.968287840784829	0.26498471079791264	0.26311772797502664	0.2037375015050898	0.26816005972197104	11.5237058726868	6.883701845055537
28000	-5915.945636073362	-5923.574604902186	7.628968828824291	-5923.574604902186	0.2701626202419367	4.968287840784829	0.2637259295745064	0.2712487135139863	0.2037375015050898	0.26128785540641764	10.490510129874094	6.352667131354821
29000	-5912.780225438858	-5921.444517242	8.664291803141873	-5921.444517242	0.24569382010668153	4.968287840784829	0.2611114015473041	0.2757380257942149	0.20186271725206348	0.26128785540641764	11.525833104191676	8.788134312466577
30000	-5913.491345533065	-5921.418805390402	7.927459857336446	-5921.418805390402	0.2625367553645401	4.968287840784829	0.25994120228427836	0.280180859011035	0.20186271725206348	0.2580152214526233	10.789001158386249	6.721692605087306
31000	-5915.774059921289	-5922.902050465304	7.127990544014443	-5922.902050465304	0.2555702632356907	4.968287840784829	0.25994120228427836	0.280180859011035	0.20186271725206348	0.2580152214526233	9.989531845064246	10.606928501430138
32000	-5901.287887577469	-5909.6857727070665	8.397885129597578	-5909.6857727070665	0.2484342715517667	4.968287840784829	0.2681145297330286	0.2942968290802142	0.19318375824233125	0.24440488294442608	11.25942643064738	8.430332533810587
33000	-5871.73678400617	-5877.624535453602	5.887751447432105	-5877.624535453602	0.2820010570817671	5.95689371001353	0.2681145297330286	0.313388048262171	0.1740925390603745	0.24440488294442608	9.011348248391435	4.0388058391262245
34000	-5867.554425888562	-5874.873239908884	7.31881402032154	-5874.873239908884	0.25861054551138674	5.95689371001353	0.276255303046489	0.30524727494871057	0.1740925390603745	0.24440488294442608	10.44241082128087	9.172559448832933
35000	-5867.165967655742	-5874.265681363819	7.099713708076997	-5874.265681363819	0.27328537052794744	5.95689371001353	0.276255303046489	0.30524727494871057	0.1740925390603745	0.24440488294442608	10.223310509036327	5.9318148513655355
36000	-5872.0947872426605	-5879.22399996533	7.129212722669777	-5879.22399996533	0.2709515377256815	5.95689371001353	0.276255303046489	0.30524727494871057	0.1740925390603745	0.24440488294442608	10.252809523629107	7.348771204466581
37000	-5869.687754792429	-5875.138511635355	5.450756842926586	-5875.138511635355	0.26807373999156664	5.6228185935253165	0.276255303046489	0.30524727494871057	0.1740925390603745	0.24440488294442608	8.488723613185256	11.800172396062313
38000	-5866.744225588377	-5874.015263068035	7.271037479657771	-5874.015263068035	0.272584677162422	5.6228185935253165	0.276255303046489	0.2911919195809177	0.1740925390603745	0.2584602383122189	10.309004249916441	6.272425692783731
39000	-5870.644689293242	-5877.010871700156	6.36618240691368	-5877.010871700156	0.25540738985620287	5.6228185935253165	0.276255303046489	0.2911919195809177	0.1740925390603745	0.2584602383122189	9.40414917717235	4.429819737106516
40000	-5848.608270612255	-5855.918325715957	7.310055103701533	-5855.918325715957	0.26615561588600456	5.6228185935253165	0.276255303046489	0.3069373289922953	0.1583471296489969	0.2584602383122189	10.348021873960203	9.986518074028774
41000	-5824.412884718275	-5829.444853361783	5.031968643508259	-5829.444853361783	0.26428597045225977	5.6228185935253165	0.276255303046489	0.3069373289922953	0.1120383144919728	0.304769053469243	8.06993541376693	3.3189615123804908
42000	-5807.43546278495	-5813.409131306897	5.9736685219464025	-5813.409131306897	0.29763747808903607	5.6228185935253165	0.3011087336536231	0.32558578168439145	0.09338986179987666	0.27991562286210886	9.011635292205073	5.006258597160991
43000	-5807.125006356469	-5814.4905924249315	7.3655860684624805	-5814.4905924249315	0.26668608545658695	5.6228185935253165	0.3011087336536231	0.32558578168439145	0.09338986179987666	0.27991562286210886	10.40355283872115	6.995169499644289
44000	-5803.154781414029	-5809.854329195435	6.699547781406233	-5809.854329195435	0.27471506466368706	5.6228185935253165	0.3011087336536231	0.32558578168439145	0.10848708750930935	0.2648183971526762	9.737514551664903	5.062863110175116
45000	-5805.657317197691	-5811.9784562702625	6.32113907257224	-5811.9784562702625	0.27750475997588325	5.6228185935253165	0.2978113162498037	0.32888319908821084	0.10848708750930935	0.2648183971526762	9.35910584283091	9.915388971504742
46000	-5809.394391653515	-5814.791988143172	5.3975964896563156	-5814.791988143172	0.2810407142961036	5.6228185935253165	0.2978113162498037	0.32049113664432627	0.10848708750930935	0.27321045959656076	8.435563259914986	10.807883598247821
47000	-5806.121748651798	-5812.872100195269	6.7503515434712735	-5812.872100195269	0.2875087320306279	5.6228185935253165	0.2978113162498037	0.32049113664432627	0.10848708750930935	0.27321045959656076	9.788318313729944	9.231501531919076
48000	-5806.397041844612	-5814.156459860111	7.759418015497975	-5814.156459860111	0.2609833091209011	5.6228185935253165	0.2978113162498037	0.32049113664432627	0.10848708750930935	0.27321045959656076	10.797384785756645	7.463550941489121
49000	-5807.76988176813	-5813.911024702781	6.141142934650432	-5813.911024702781	0.28750220377268404	5.6228185935253165	0.2978113162498037	0.32049113664432627	0.10848708750930935	0.27321045959656076	9.179109704909102	4.7275297356267005
50000	-5808.572116049927	-5815.7395254341	7.1674093841727	-5815.7395254341	0.27888671036541207	5.6228185935253165	0.2978113162498037	0.32049113664432627	0.10848708750930935	0.27321045959656076	10.20537615443137	6.576134016205768
51000	-5804.690478824317	-5811.180485812396	6.490006988079081	-5811.180485812396	0.30586477167019976	6.164693476266001	0.2978113162498037	0.32049113664432627	0.10848708750930935	0.27321045959656076	9.665486320155276	5.296443832307193
52000	-5798.064934959556	-5804.455377464474	6.390442504917833	-5804.455377464474	0.30788383116410456	6.262722179794237	0.3074573969288301	0.32049113664432627	0.09884100683028296	0.27321045959656076	9.590045806331892	6.6009024544935535
53000	-5796.9290486224	-5803.528404435047	6.599355812647443	-5803.528404435047	0.29890695323900335	6.262722179794237	0.3198098902295641	0.32049113664432627	0.086488513529549	0.27321045959656076	9.798959114061502	5.789306524393064
54000	-5799.189566723614	-5805.609558624589	6.419991900975563	-5805.609558624589	0.3023318020959745	6.262722179794237	0.3198098902295641	0.32049113664432627	0.086488513529549	0.27321045959656076	9.619595202389622	7.691275846601375
55000	-5802.2836799126835	-5807.150349421651	4.866669508967816	-5807.150349421651	0.3419045179857539	6.262722179794237	0.3198098902295641	0.32049113664432627	0.086488513529549	0.27321045959656076	8.066272810381875	9.139937444535441
56000	-5798.392002993202	-5805.642321631565	7.250318638363228	-5805.642321631565	0.2681585469668605	6.262722179794237	0.3198098902295641	0.32049113664432627	0.086488513529549	0.27321045959656076	10.449921939777287	7.623214730368715
57000	-5800.3430091052705	-5807.6551506910755	7.312141585804556	-5807.6551506910755	0.28120138503512865	6.262722179794237	0.3198098902295641	0.32049113664432627	0.086488513529549	0.27321045959656076	10.511744887218615	6.8107915913864
58000	-5800.744307170302	-5806.705733656752	5.961426486450107	-5806.705733656752	0.2924845037277878	6.262722179794237	0.3127748083539796	0.33815527378090215	0.09352359540513348	0.2555463224599849	9.161029787864166	8.480687986099047
59000	-5803.490071228885	-5809.531600549841	6.041529320954929	-5809.531600549841	0.2977414263957563	6.233250262762148	0.3127748083539796	0.33815527378090215	0.09352359540513348	0.2555463224599849	9.233903085958271	7.872271358328404
60000	-5794.712537846635	-5801.957636649265	7.245098802629709	-5801.957636649265	0.2642283185523874	6.233250262762148	0.3490418764065589	0.3018882057283228	0.09352359540513348	0.2555463224599849	10.437472567633051	6.206431947859089
61000	-5798.57822732706	-5804.945733183828	6.367505856768398	-5804.945733183828	0.29999516402817955	6.233250262762148	0.3422063900040051	0.30872369213087664	0.09352359540513348	0.2555463224599849	9.55987962177174	5.7028381282048395
62000	-5801.211102570963	-5804.784557931283	3.5734553603206365	-5804.784557931283	0.3146687041121718	6.233250262762148	0.3422063900040051	0.30872369213087664	0.09352359540513348	0.2555463224599849	6.765829125323979	13.40476813733783
63000	-5797.544661671307	-5804.074426971934	6.529765300627044	-5804.074426971934	0.29549520781079874	6.233250262762148	0.3422063900040051	0.30872369213087664	0.09352359540513348	0.2555463224599849	9.722139065630387	7.572611088592596
64000	-5795.525748732374	-5801.247560810057	5.721812077682053	-5801.247560810057	0.2921410714897357	6.233250262762148	0.3422063900040051	0.30872369213087664	0.09352359540513348	0.2555463224599849	8.914185842685395	10.54772718454823
65000	-5799.834818763235	-5805.826955066891	5.992136303656544	-5805.826955066891	0.30360300227349235	6.233250262762148	0.3510867415356604	0.30872369213087664	0.0846432438734782	0.2555463224599849	9.184510068659886	6.90369430013155
66000	-5795.303837461477	-5801.526179179127	6.222341717649808	-5801.526179179127	0.3052136634521164	6.233250262762148	0.3510867415356604	0.30872369213087664	0.0846432438734782	0.2555463224599849	9.41471548265315	4.8617550166579875
67000	-5795.574500421827	-5802.322749725953	6.748249304126354	-5802.322749725953	0.2866668644124536	6.191646731973139	0.34903530719902515	0.30872369213087664	0.08669467821011347	0.2555463224599849	9.930383677998947	6.305119468861472
68000	-5798.654605698118	-5803.4000293291465	4.7454236310288795	-5803.4000293291465	0.295310306406236	6.191646731973139	0.34903530719902515	0.30872369213087664	0.08669467821011347	0.2555463224599849	7.927558004901472	3.407450812862141
